nombre_cientifico,orden,distribucion
Charonia_variegata,Littorinimorpha,golfo_de_mexico
Strombus_pugilis,Littorinimorpha,golfo_de_mexico
Hexaplex_fulvescens,Neogastropoda,golfo_de_mexico
Distorsio_clathrata,Littorinimorpha,golfo_de_mexico
Sinistrofulgur_pulleyi,Neogastropoda,golfo_de_mexico
Bostrycapulus_aculeatus,Littorinimorpha,golfo_de_mexico
Fasciolaria_tulipa,Neogastropoda,golfo_de_mexico
Oliva_sayana,Neogastropoda,golfo_de_mexico
Polinices_hepaticus,Littorinimorpha,golfo_de_mexico
Vasula_deltoidea,Neogastropoda,golfo_de_mexico
Columbella_mercatoria,Neogastropoda,golfo_de_mexico
Melongena_bispinosa,Neogastropoda,golfo_de_mexico
Crepidula_maculosa,Littorinimorpha,golfo_de_mexico
Naticarius_canrena,Littorinimorpha,golfo_de_mexico
Ficus_papyratia,Littorinimorpha,golfo_de_mexico
Sinistrofulgur_perversum,Neogastropoda,golfo_de_mexico
Crucibulum_auricula,Littorinimorpha,golfo_de_mexico
Stramonita_floridana,Neogastropoda,golfo_de_mexico
Phrontis_vibex,Neogastropoda,golfo_de_mexico
Fulguropsis_spirata,Neogastropoda,golfo_de_mexico
Turbinella_angulata,Neogastropoda,golfo_de_mexico
Melongena_melongena,Neogastropoda,golfo_de_mexico
Macrocypraea_cervus,Littorinimorpha,golfo_de_mexico
Polinices_lacteus,Littorinimorpha,golfo_de_mexico
Tonna_pennata,Littorinimorpha,golfo_de_mexico
Conus_mus,Neogastropoda,golfo_de_mexico
Lobatus_raninus,Littorinimorpha,golfo_de_mexico
Luria_cinerea,Littorinimorpha,golfo_de_mexico
Cypraecassis_testiculus,Littorinimorpha,golfo_de_mexico
Monoplex_nicobaricus,Littorinimorpha,golfo_de_mexico
Sinistrofulgur_sinistrum,Neogastropoda,golfo_de_mexico
Littoraria_angulifera,Littorinimorpha,golfo_de_mexico
Crepidula_fornicata,Littorinimorpha,golfo_de_mexico
Cassis_madagascariensis,Littorinimorpha,golfo_de_mexico
Cinctura_lilium,Neogastropoda,golfo_de_mexico
Volutella_muricata,Neogastropoda,golfo_de_mexico
Triplofusus_giganteus,Neogastropoda,golfo_de_mexico
Macrostrombus_costatus,Littorinimorpha,golfo_de_mexico
Prunum_labiatum,Neogastropoda,golfo_de_mexico
Conus_spurius,Neogastropoda,golfo_de_mexico
Phyllonotus_pomum,Neogastropoda,golfo_de_mexico
Prunum_apicinum,Neogastropoda,golfo_de_mexico
Semicassis_granulata,Littorinimorpha,golfo_de_mexico
Aliger_gigas,Littorinimorpha,golfo_de_mexico
Neverita_duplicata,Littorinimorpha,golfo_de_mexico
Cyphoma_mcgintyi,Littorinimorpha,golfo_de_mexico
Cyphoma_gibbosum,Littorinimorpha,golfo_de_mexico
Cymatium_femorale,Littorinimorpha,golfo_de_mexico
Melanella_eburnea,Littorinimorpha,golfo_de_mexico
Pusula_pediculus,Littorinimorpha,golfo_de_mexico
Echinolittorina_angustior,Littorinimorpha,golfo_de_mexico
Crassispira_cubana,Neogastropoda,golfo_de_mexico
Macrocypraea_zebra,Littorinimorpha,golfo_de_mexico
Teinostoma_megastoma,Littorinimorpha,golfo_de_mexico
Teinostoma_reclusum,Littorinimorpha,golfo_de_mexico
Teinostoma_umbilicatum,Littorinimorpha,golfo_de_mexico
Thylacodes_riisei,Littorinimorpha,golfo_de_mexico
Conus_maya,Neogastropoda,golfo_de_mexico
Ranularia_cynocephala,Littorinimorpha,golfo_de_mexico
Monoplex_parthenopeus,Littorinimorpha,golfo_de_mexico
Terebra_taurina,Neogastropoda,golfo_de_mexico
Hastula_cinerea,Neogastropoda,golfo_de_mexico
Echinolittorina_ziczac,Littorinimorpha,golfo_de_mexico
Gemophos_tinctus,Neogastropoda,golfo_de_mexico
Tonna_galea,Littorinimorpha,golfo_de_mexico
Fulguropsis_texana,Neogastropoda,golfo_de_mexico
Thylacodes_decussatus,Littorinimorpha,golfo_de_mexico
Plicopurpura_patula,Neogastropoda,golfo_de_mexico
Chicoreus_florifer,Neogastropoda,golfo_de_mexico
Littoraria_nebulosa,Littorinimorpha,golfo_de_mexico
Solenosteira_cancellaria,Neogastropoda,golfo_de_mexico
Olivella_nivea,Neogastropoda,golfo_de_mexico
Naria_turdus,Littorinimorpha,golfo_de_mexico
Prunum_guttatum,Neogastropoda,golfo_de_mexico
Olivella_watermani,Neogastropoda,golfo_de_mexico
Olivella_floralia,Neogastropoda,golfo_de_mexico
Olivella_minuta,Neogastropoda,golfo_de_mexico
Sinum_perspectivum,Littorinimorpha,golfo_de_mexico
Cancellaria_reticulata,Neogastropoda,golfo_de_mexico
Prunum_pruinosum,Neogastropoda,golfo_de_mexico
Acanthinucella_punctulata,Neogastropoda,oceano_pacifico
Acanthinucella_spirata,Neogastropoda,oceano_pacifico
Agaronia_griseoalba,Neogastropoda,oceano_pacifico
Agaronia_propatula,Neogastropoda,oceano_pacifico
Agaronia_testacea,Neogastropoda,oceano_pacifico
Agathotoma_alcippe,Neogastropoda,oceano_pacifico
Alanbeuella_corrugata,Littorinimorpha,oceano_pacifico
Amphithalamus_inclusus,Littorinimorpha,oceano_pacifico
Anachis_coronata,Neogastropoda,oceano_pacifico
Anachis_menaletta,Neogastropoda,oceano_pacifico
Anachis_nigrofusca,Neogastropoda,oceano_pacifico
Anachis_scalarina,Neogastropoda,oceano_pacifico
Anachis_varia,Neogastropoda,oceano_pacifico
Anachis_vexillum,Neogastropoda,oceano_pacifico
Antisabia_panamensis,Littorinimorpha,oceano_pacifico
Araiofusus_colpoicus,Neogastropoda,oceano_pacifico
Aspella_hastula,Neogastropoda,oceano_pacifico
Aspella_pyramidalis,Neogastropoda,oceano_pacifico
Atrimitra_effusa,Neogastropoda,oceano_pacifico
Bailya_anomala,Neogastropoda,oceano_pacifico
Bifurcium_bicanaliferum,Neogastropoda,oceano_pacifico
Bostrycapulus_aculeatus,Littorinimorpha,oceano_pacifico
Bostrycapulus_latebrus,Littorinimorpha,oceano_pacifico
Caecum_clathratum,Littorinimorpha,oceano_pacifico
Caecum_firmatum,Littorinimorpha,oceano_pacifico
Caecum_heptagonum,Littorinimorpha,oceano_pacifico
Caecum_laeve,Littorinimorpha,oceano_pacifico
Caecum_quadratum,Littorinimorpha,oceano_pacifico
Caecum_teres,Littorinimorpha,oceano_pacifico
Caesia_fossata,Neogastropoda,oceano_pacifico
Californiconus_californicus,Neogastropoda,oceano_pacifico
Calyptraea_conica,Littorinimorpha,oceano_pacifico
Calyptraea_lichen,Littorinimorpha,oceano_pacifico
Calyptraea_mamillaris,Littorinimorpha,oceano_pacifico
Calyptraea_spirata,Littorinimorpha,oceano_pacifico
Cancellaria_gemmulata,Neogastropoda,oceano_pacifico
Ceratostoma_nuttalli,Neogastropoda,oceano_pacifico
Cheilea_corrugata,Littorinimorpha,oceano_pacifico
Claremontiella_adiakritos,Neogastropoda,oceano_pacifico
Columbella_aureomexicana,Neogastropoda,oceano_pacifico
