species,distance_to_mean_shape,closest_species,distance_to_closest,furthest_species,distance_to_furthest
Prunum_guttatum,0.072502,Prunum_pruinosum,0.022728,Thylacodes_riisei,0.581774
Prunum_pruinosum,0.075853,Prunum_guttatum,0.022728,Thylacodes_riisei,0.579503
Ceratostoma_nuttalli,0.0812,Cancellaria_gemmulata,0.081204,Caecum_heptagonum,0.577826
Cancellaria_gemmulata,0.082029,Phrontis_vibex,0.073439,Caecum_heptagonum,0.554827
Macrocypraea_cervus,0.084335,Macrocypraea_zebra,0.07185,Thylacodes_riisei,0.57615
Columbella_aureomexicana,0.084374,Columbella_mercatoria,0.061932,Thylacodes_riisei,0.574682
Prunum_apicinum,0.084893,Prunum_labiatum,0.037816,Thylacodes_riisei,0.568871
Semicassis_granulata,0.087858,Tonna_pennata,0.038988,Thylacodes_riisei,0.573599
Macrocypraea_zebra,0.090697,Macrocypraea_cervus,0.07185,Caecum_heptagonum,0.584992
Columbella_mercatoria,0.090758,Columbella_aureomexicana,0.061932,Thylacodes_riisei,0.569423
Cyphoma_gibbosum,0.092777,Prunum_pruinosum,0.074703,Thylacodes_riisei,0.597568
Cypraecassis_testiculus,0.095241,Prunum_apicinum,0.044065,Thylacodes_riisei,0.578826
Conus_mus,0.095995,Ceratostoma_nuttalli,0.087071,Caecum_heptagonum,0.585702
Tonna_pennata,0.096667,Semicassis_granulata,0.038988,Thylacodes_riisei,0.57245
Prunum_labiatum,0.1006,Prunum_apicinum,0.037816,Thylacodes_riisei,0.578051
Cancellaria_reticulata,0.103513,Stramonita_floridana,0.044822,Caecum_heptagonum,0.595098
Echinolittorina_ziczac,0.103786,Echinolittorina_angustior,0.047545,Thylacodes_riisei,0.576292
Vasula_deltoidea,0.105882,Cancellaria_gemmulata,0.084124,Caecum_heptagonum,0.559639
Pusula_pediculus,0.106396,Cassis_madagascariensis,0.077935,Thylacodes_riisei,0.532415
Luria_cinerea,0.110136,Naria_turdus,0.046004,Thylacodes_riisei,0.582589
Acanthinucella_punctulata,0.110687,Cancellaria_reticulata,0.057328,Caecum_heptagonum,0.592355
Phrontis_vibex,0.111647,Cancellaria_gemmulata,0.073439,Caecum_heptagonum,0.568318
Plicopurpura_patula,0.112553,Cancellaria_gemmulata,0.105144,Caecum_heptagonum,0.542193
Distorsio_clathrata,0.113286,Columbella_aureomexicana,0.092228,Thylacodes_riisei,0.598462
Crepidula_maculosa,0.114126,Crepidula_fornicata,0.062238,Thylacodes_riisei,0.56332
Amphithalamus_inclusus,0.114223,Littoraria_nebulosa,0.05648,Thylacodes_riisei,0.567797
Californiconus_californicus,0.114852,Conus_spurius,0.059496,Thylacodes_riisei,0.598231
Alanbeuella_corrugata,0.115785,Tonna_pennata,0.096584,Thylacodes_riisei,0.569429
Strombus_pugilis,0.116324,Semicassis_granulata,0.111217,Thylacodes_riisei,0.540123
Conus_spurius,0.116677,Californiconus_californicus,0.059496,Thylacodes_riisei,0.585674
Littoraria_nebulosa,0.11679,Amphithalamus_inclusus,0.05648,Thylacodes_riisei,0.564916
Cyphoma_mcgintyi,0.11733,Anachis_nigrofusca,0.074142,Thylacodes_riisei,0.610039
Stramonita_floridana,0.12051,Cancellaria_reticulata,0.044822,Caecum_heptagonum,0.612892
Anachis_nigrofusca,0.12053,Anachis_varia,0.031659,Thylacodes_riisei,0.592114
Crepidula_fornicata,0.12092,Crepidula_maculosa,0.062238,Thylacodes_riisei,0.588776
Echinolittorina_angustior,0.123269,Echinolittorina_ziczac,0.047545,Thylacodes_riisei,0.565437
Anachis_scalarina,0.124089,Anachis_nigrofusca,0.05068,Caecum_heptagonum,0.59951
Melongena_bispinosa,0.124853,Acanthinucella_spirata,0.045698,Caecum_heptagonum,0.618956
Cassis_madagascariensis,0.125223,Prunum_labiatum,0.065011,Thylacodes_riisei,0.542422
Naria_turdus,0.125446,Luria_cinerea,0.046004,Thylacodes_riisei,0.571006
Solenosteira_cancellaria,0.125686,Gemophos_tinctus,0.049294,Caecum_heptagonum,0.630535
Anachis_varia,0.130855,Anachis_nigrofusca,0.031659,Thylacodes_riisei,0.597847
Gemophos_tinctus,0.132361,Stramonita_floridana,0.048091,Caecum_heptagonum,0.631965
Acanthinucella_spirata,0.133308,Melongena_bispinosa,0.045698,Caecum_heptagonum,0.630499
Tonna_galea,0.136379,Pusula_pediculus,0.09866,Caecum_heptagonum,0.546601
Monoplex_parthenopeus,0.138827,Stramonita_floridana,0.058519,Caecum_heptagonum,0.625868
Littoraria_angulifera,0.139645,Echinolittorina_ziczac,0.063168,Thylacodes_riisei,0.605199
Monoplex_nicobaricus,0.140712,Acanthinucella_spirata,0.075087,Caecum_heptagonum,0.611299
Fasciolaria_tulipa,0.151664,Cinctura_lilium,0.062359,Caecum_heptagonum,0.633087
Volutella_muricata,0.152012,Cassis_madagascariensis,0.105916,Thylacodes_riisei,0.539596
Polinices_hepaticus,0.156013,Polinices_lacteus,0.056323,Caecum_heptagonum,0.532219
Anachis_coronata,0.156735,Anachis_vexillum,0.060318,Caecum_heptagonum,0.626694
Olivella_minuta,0.161096,Olivella_watermani,0.051258,Thylacodes_riisei,0.624484
Ficus_papyratia,0.166219,Fulguropsis_texana,0.081934,Caecum_heptagonum,0.630115
Lobatus_raninus,0.168669,Naria_turdus,0.095606,Thylacodes_riisei,0.552071
Ranularia_cynocephala,0.169237,Fulguropsis_spirata,0.105452,Caecum_heptagonum,0.598607
Melongena_melongena,0.169339,Pusula_pediculus,0.124203,Caecum_heptagonum,0.566499
Cinctura_lilium,0.169881,Fasciolaria_tulipa,0.062359,Caecum_heptagonum,0.650312
Caesia_fossata,0.17214,Stramonita_floridana,0.092342,Caecum_heptagonum,0.632732
Bostrycapulus_aculeatus,0.172968,Calyptraea_spirata,0.070899,Thylacodes_riisei,0.553499
Turbinella_angulata,0.174202,Cinctura_lilium,0.089758,Caecum_heptagonum,0.669659
Bifurcium_bicanaliferum,0.174928,Solenosteira_cancellaria,0.096772,Caecum_heptagonum,0.646087
Polinices_lacteus,0.176528,Naticarius_canrena,0.040268,Caecum_heptagonum,0.565755
Naticarius_canrena,0.179088,Polinices_lacteus,0.040268,Caecum_heptagonum,0.57332
Fulguropsis_spirata,0.183767,Ficus_papyratia,0.083744,Caecum_heptagonum,0.619658
Olivella_watermani,0.185132,Agaronia_griseoalba,0.050411,Thylacodes_riisei,0.647847
Agathotoma_alcippe,0.189204,Crassispira_cubana,0.066026,Caecum_heptagonum,0.655237
Charonia_variegata,0.190142,Anachis_coronata,0.082723,Caecum_heptagonum,0.641899
Calyptraea_spirata,0.191898,Antisabia_panamensis,0.055449,Terebra_taurina,0.537922
Antisabia_panamensis,0.192224,Calyptraea_spirata,0.055449,Terebra_taurina,0.548595
